id,noc,medal
1312,NED,Silver
1313,GBR,Bronze
1314,USA,Gold
1315,CAN,Silver
1316,CAN,Bronze
1317,CAN,Bronze
1318,USA,Gold
1319,GER,Bronze
1320,FRA,Gold
1321,FRA,Gold
1322,FRA,Gold
1323,NOR,Gold
1324,ESP,Silver
1325,ESP,Gold
1326,ITA,Silver
1327,ESP,Gold
1328,GRE,Silver
1329,AUS,Silver
1330,FRA,Bronze
1331,HUN,Silver
1332,HUN,Silver
1333,AUS,Gold
1334,ITA,Bronze
1335,GRE,Silver
1336,URS,Bronze
1337,GDR,Gold
1338,GDR,Silver
1339,BEL,Gold
1340,ITA,Bronze
1341,FRA,Bronze
1342,ROU,Gold
1343,ITA,Bronze
1344,GER,Gold
1345,ITA,Silver
1346,DEN,Gold
1347,DEN,Gold
1348,ARG,Gold
1349,KOR,Silver
1350,KOR,Gold
1351,DEN,Bronze
